lp2p,lp3p,pi_conj,en1,en2,en3,en4,en5,p
0,0,0,2.55,5.95,12.75,51.6,0,-0.44
0,0,1,2.55,7.65,13.73,32.69,6.08,0.3
0,0,1,2.55,7.65,12.05,12.81,4.4,0.08
0,0,1,2.55,7.65,12.05,12.05,5.92,0.12
0,0,1,2.55,7.65,12.05,13.01,4.4,0.1
0,0,1,2.55,7.65,12.05,12.05,6.32,0.12
0,0,1,2.55,7.65,12.05,13.83,4.4,0.1
0,0,1,2.55,7.65,12.05,12.05,7.95,0.06
1,0,0,3.44,2.55,7.65,12.05,12.05,-0.1
0,0,1,2.55,7.65,12.05,12.51,4.4,0.06
0,0,1,2.55,7.65,12.05,12.05,5.32,0.1
0,0,1,2.55,7.65,12.05,12.89,14.72,0.2
0,0,1,2.55,7.65,12.05,12.05,6.08,0.26
0,1,0,2.58,2.55,7.65,12.05,12.05,0.24
0,1,1,2.58,9.43,7.65,12.05,12.05,0.6
1,0,0,3.04,6.08,10.2,5.1,14.6,0.51
0,0,1,2.55,7.65,12.05,12.05,4.4,-0.01
0,0,1,3.04,9.52,2.58,16.31,7.65,0.79
1,0,1,3.04,6.08,2.55,7.65,12.05,0.39
1,0,0,3.44,2.55,7.65,12.05,12.05,-0.03
0,1,1,2.58,9.43,7.65,12.05,12.05,0.44
0,0,1,2.55,8.54,7.3,14.95,17.62,0.08
0,0,1,2.55,8.54,7.3,17.08,18.65,0.43
0,0,1,2.58,16.31,7.65,12.05,12.05,0.68
1,0,0,3.44,2.58,16.31,7.65,12.05,0.33
0,1,0,2.58,2.55,7.65,12.05,12.05,0.07
1,0,0,3.04,4.75,7.65,12.05,12.05,-0.56
1,0,0,3.04,4.78,16.31,7.65,12.05,0.01
0,0,1,2.58,16.8,4.75,7.65,12.05,0.65
0,0,1,2.55,8.54,7.3,14.95,17.69,-0.13
1,0,0,3.04,5.1,15.3,22.7,14.6,0.38
0,0,1,2.55,7.65,11.7,13.9,13.9,-0.08
0,0,0,2.55,7.3,13.9,13.9,13.9,-0.15
1,0,0,3.04,5.1,13.9,13.9,13.2,-0.93
0,0,0,2.55,6.95,6.95,6.95,7.44,-0.16
0,0,1,2.19,11.98,14.6,26.4,0,0.41
0,1,0,2.19,5.1,14.6,26.4,0,0.06
0,0,1,2.19,13.76,5.1,13.9,13.9,0.5
0,0,0,2.01,7.65,20.85,19.8,0,0
0,0,0,1.9,10.32,7.65,20.85,19.8,0.08
0,0,0,1.96,7.65,20.85,19.8,0,0
0,0,1,2.19,11.18,23.6,37.33,35.82,1.37
0,0,0,1.9,9.12,15.3,39.6,0,-0.04
0,0,1,2.55,9.52,5.1,15.3,19.7,0.33
0,0,1,2.55,8.66,5.1,15.3,19.7,0.29
0,0,1,2.55,9.43,7.65,12.05,12.05,0.43
1,0,0,3.44,2.55,9.43,7.65,12.05,0.13
0,0,1,2.55,10.32,2.55,7.65,12.05,0.44
1,0,1,3.04,5.1,4.75,7.65,12.05,-0.55
0,0,1,2.55,8.28,2.55,7.65,12.05,0.42
1,0,0,3.04,4.75,9.43,7.65,12.05,-0.19
0,0,1,2.55,9.92,4.75,7.65,12.05,0.41
0,0,1,2.55,7.65,12.05,12.05,2.55,-0.03
0,0,0,2.55,6.95,7.65,12.05,12.05,-0.09
1,0,1,3.04,6.08,2.55,7.65,13.29,0.31
0,0,1,2.55,7.65,12.05,12.05,6.88,-0.08
0,0,0,2.55,8.19,9.85,12.05,12.05,-0.03
0,0,0,2.55,7.84,2.55,7.65,12.05,0.07
0,0,0,2.55,6.98,16.31,7.65,12.05,0.16
0,0,0,2.55,7.65,20.85,19.8,0,-0.2
0,0,0,2.55,6.95,6.95,6.95,6.95,-0.16
0,0,0,1.9,9.43,10.4,15.3,39.6,-0.01
0,0,0,2.55,10.51,10.51,7.65,12.05,0.39
0,0,1,2.55,7.65,2.55,7.65,12.05,0.16
0,0,1,2.55,8.28,2.55,7.65,12.05,0.51
0,0,1,2.55,7.3,4.75,7.65,12.05,-0.07
0,0,1,2.55,8.28,3.04,4.75,9.43,0.51
1,0,1,3.04,5.1,4.75,7.65,12.05,-0.54
1,0,0,3.04,4.75,9.43,7.65,12.05,-0.06
0,1,0,2.58,2.55,8.28,2.58,16.31,0.7
0,0,1,2.55,7.65,12.05,12.05,5.1,-0.02
